#Do not edit! This file is automatically extracted from Unicode Data.
#code;character;name;variant;plain_code;plain_character
1D4B0;𝒰;MATHEMATICAL SCRIPT CAPITAL U;MathematicalScript;0055;U
1D4B1;𝒱;MATHEMATICAL SCRIPT CAPITAL V;MathematicalScript;0056;V
1D4B2;𝒲;MATHEMATICAL SCRIPT CAPITAL W;MathematicalScript;0057;W
1D4B3;𝒳;MATHEMATICAL SCRIPT CAPITAL X;MathematicalScript;0058;X
1D4B4;𝒴;MATHEMATICAL SCRIPT CAPITAL Y;MathematicalScript;0059;Y
1D4B5;𝒵;MATHEMATICAL SCRIPT CAPITAL Z;MathematicalScript;005A;Z
1D4B6;𝒶;MATHEMATICAL SCRIPT SMALL A;MathematicalScript;0061;a
1D4B7;𝒷;MATHEMATICAL SCRIPT SMALL B;MathematicalScript;0062;b
1D4B8;𝒸;MATHEMATICAL SCRIPT SMALL C;MathematicalScript;0063;c
1D4B9;𝒹;MATHEMATICAL SCRIPT SMALL D;MathematicalScript;0064;d
1D4BB;𝒻;MATHEMATICAL SCRIPT SMALL F;MathematicalScript;0066;f
1D4BD;𝒽;MATHEMATICAL SCRIPT SMALL H;MathematicalScript;0068;h
1D4BE;𝒾;MATHEMATICAL SCRIPT SMALL I;MathematicalScript;0069;i
1D4BF;𝒿;MATHEMATICAL SCRIPT SMALL J;MathematicalScript;006A;j
1D4C0;𝓀;MATHEMATICAL SCRIPT SMALL K;MathematicalScript;006B;k
1D4C1;𝓁;MATHEMATICAL SCRIPT SMALL L;MathematicalScript;006C;l
1D4C2;𝓂;MATHEMATICAL SCRIPT SMALL M;MathematicalScript;006D;m
1D4C3;𝓃;MATHEMATICAL SCRIPT SMALL N;MathematicalScript;006E;n
1D4C5;𝓅;MATHEMATICAL SCRIPT SMALL P;MathematicalScript;0070;p
1D4C6;𝓆;MATHEMATICAL SCRIPT SMALL Q;MathematicalScript;0071;q
1D4C7;𝓇;MATHEMATICAL SCRIPT SMALL R;MathematicalScript;0072;r
1D4C8;𝓈;MATHEMATICAL SCRIPT SMALL S;MathematicalScript;0073;s
1D4C9;𝓉;MATHEMATICAL SCRIPT SMALL T;MathematicalScript;0074;t
1D4CA;𝓊;MATHEMATICAL SCRIPT SMALL U;MathematicalScript;0075;u
1D4CB;𝓋;MATHEMATICAL SCRIPT SMALL V;MathematicalScript;0076;v
1D4CC;𝓌;MATHEMATICAL SCRIPT SMALL W;MathematicalScript;0077;w
1D4CD;𝓍;MATHEMATICAL SCRIPT SMALL X;MathematicalScript;0078;x
1D4CE;𝓎;MATHEMATICAL SCRIPT SMALL Y;MathematicalScript;0079;y
1D4CF;𝓏;MATHEMATICAL SCRIPT SMALL Z;MathematicalScript;007A;z
1D4D0;𝓐;MATHEMATICAL BOLD SCRIPT CAPITAL A;BoldScript;0041;A
1D4D1;𝓑;MATHEMATICAL BOLD SCRIPT CAPITAL B;BoldScript;0042;B
1D4D2;𝓒;MATHEMATICAL BOLD SCRIPT CAPITAL C;BoldScript;0043;C
1D4D3;𝓓;MATHEMATICAL BOLD SCRIPT CAPITAL D;BoldScript;0044;D
1D4D4;𝓔;MATHEMATICAL BOLD SCRIPT CAPITAL E;BoldScript;0045;E
1D4D5;𝓕;MATHEMATICAL BOLD SCRIPT CAPITAL F;BoldScript;0046;F
1D4D6;𝓖;MATHEMATICAL BOLD SCRIPT CAPITAL G;BoldScript;0047;G
1D4D7;𝓗;MATHEMATICAL BOLD SCRIPT CAPITAL H;BoldScript;0048;H
1D4D8;𝓘;MATHEMATICAL BOLD SCRIPT CAPITAL I;BoldScript;0049;I
1D4D9;𝓙;MATHEMATICAL BOLD SCRIPT CAPITAL J;BoldScript;004A;J
1D4DA;𝓚;MATHEMATICAL BOLD SCRIPT CAPITAL K;BoldScript;004B;K
1D4DB;𝓛;MATHEMATICAL BOLD SCRIPT CAPITAL L;BoldScript;004C;L
1D4DC;𝓜;MATHEMATICAL BOLD SCRIPT CAPITAL M;BoldScript;004D;M
1D4DD;𝓝;MATHEMATICAL BOLD SCRIPT CAPITAL N;BoldScript;004E;N
1D4DE;𝓞;MATHEMATICAL BOLD SCRIPT CAPITAL O;BoldScript;004F;O
1D4DF;𝓟;MATHEMATICAL BOLD SCRIPT CAPITAL P;BoldScript;0050;P
1D4E0;𝓠;MATHEMATICAL BOLD SCRIPT CAPITAL Q;BoldScript;0051;Q
1D4E1;𝓡;MATHEMATICAL BOLD SCRIPT CAPITAL R;BoldScript;0052;R
1D4E2;𝓢;MATHEMATICAL BOLD SCRIPT CAPITAL S;BoldScript;0053;S
1D4E3;𝓣;MATHEMATICAL BOLD SCRIPT CAPITAL T;BoldScript;0054;T
1D4E4;𝓤;MATHEMATICAL BOLD SCRIPT CAPITAL U;BoldScript;0055;U
1D4E5;𝓥;MATHEMATICAL BOLD SCRIPT CAPITAL V;BoldScript;0056;V
1D4E6;𝓦;MATHEMATICAL BOLD SCRIPT CAPITAL W;BoldScript;0057;W
1D4E7;𝓧;MATHEMATICAL BOLD SCRIPT CAPITAL X;BoldScript;0058;X
1D4E8;𝓨;MATHEMATICAL BOLD SCRIPT CAPITAL Y;BoldScript;0059;Y
1D4E9;𝓩;MATHEMATICAL BOLD SCRIPT CAPITAL Z;BoldScript;005A;Z
1D4EA;𝓪;MATHEMATICAL BOLD SCRIPT SMALL A;BoldScript;0061;a
1D4EB;𝓫;MATHEMATICAL BOLD SCRIPT SMALL B;BoldScript;0062;b
1D4EC;𝓬;MATHEMATICAL BOLD SCRIPT SMALL C;BoldScript;0063;c
1D4ED;𝓭;MATHEMATICAL BOLD SCRIPT SMALL D;BoldScript;0064;d
1D4EE;𝓮;MATHEMATICAL BOLD SCRIPT SMALL E;BoldScript;0065;e
1D4EF;𝓯;MATHEMATICAL BOLD SCRIPT SMALL F;BoldScript;0066;f
1D4F0;𝓰;MATHEMATICAL BOLD SCRIPT SMALL G;BoldScript;0067;g
